"NoFilter";"";"";"";"";"";"";"";""
"Unité : Hectare";"";"";"";"";"";"";"";""
"Source : Ministère de l'environnement";"";"";"";"";"";"";"";""
"Parcs et réserves protégés";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";""
"";"2005";"2006";"2007";"2008";"2010";"2011";"2012";"2013"
"Surface totale des parcs et réserves protégés";"217888.00";"217888.00";"217888.00";"217888.00";"583241.00";"583241.00";"583241.00";"583241.00"
"Part du territoire national protégé";"1.33";"1.33";"1.33";"1.33";"3.55";"3.55";"3.55";"3.55"
