"NoFilter";"";"";"";"";"";"";"";"";""
"Unité : 1000HL";"";"";"";"";"";"";"";"";""
"Source : Institut National de la Statistique";"";"";"";"";"";"";"";"";""
"Industrie laitières";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019"
"Lait pasteurisé ou stérilisé";"4470.0";"5090.0";"5100.0";"5460.0";"6100.0";"6002.0";"6178.0";"5827.0";"5922.0"
